City_ID,City,Description,Max Temp,Lat,Lng,Hotel Name
1050,Goma,overcast clouds,62.98,-1.6792,29.2228,"Goma, CENTRE D'ACCUEIL CARITAS"
1052,Gao,scattered clouds,65.03,16.6362,1.6369999999999998,
1053,Meulaboh,scattered clouds,82.94,4.1363,96.1285,Kost Pria
1055,Belmopan,few clouds,73.99,17.25,-88.7667,Villa San Juan
1059,Moratuwa,few clouds,77.0,6.773,79.8816,Sa Mansion By Yoho
1061,Pietersburg,light rain,68.0,-23.9045,29.4688,Fusion Boutique Hotel
1062,Gunjur,clear sky,71.6,13.2019,-16.7339,Kuba Lodge
1065,Port Hedland,overcast clouds,78.8,-20.3167,118.5667,The Esplanade Hotel
1066,Tambopata,scattered clouds,73.4,-12.7333,-69.1833,
1068,Sambava,overcast clouds,76.28,-14.2667,50.1667,Melrose
1069,Pedernales,broken clouds,76.35,18.0384,-71.744,Hotel Costa Marina
1072,Reporoa,clear sky,82.0,-38.4333,176.35,Reporoa
1073,Astros,broken clouds,61.0,37.4032,22.7303,Studios Maria
1076,Takaka,clear sky,69.01,-40.85,172.8,Golden Bay Motels
1077,Karpathos,few clouds,62.6,35.507,27.2132,Alex
1078,Sao Filipe,clear sky,71.78,14.8961,-24.4956,Tortuga B&B
1080,Keti Bandar,clear sky,67.93,24.1447,67.4497,Haji laloo memon house
1081,Kouroussa,clear sky,65.89,10.65,-9.8833,Hotel Paillote
1083,Sao Mateus Do Maranhao,overcast clouds,75.04,-4.0417,-44.475,Pousada Pingo De Ouro
1084,Chipiona,broken clouds,60.8,36.7366,-6.437,Al Sur De Chipiona
1085,Tsiroanomandidy,broken clouds,67.32,-18.7667,46.0333,
1087,Kupang,broken clouds,84.2,-10.1667,123.5833,Hotel On The Rock by Prasanthi
1088,Iquitos,overcast clouds,73.4,-3.7481,-73.2472,Cortez Malaga Techy Caroly
1089,Claveria,clear sky,76.95,18.6074,121.0832,Casa Grand Inn By The Sea
1091,Panaba,clear sky,69.39,21.2833,-88.2667,Hotel Don Fernando
1099,Campos Belos,scattered clouds,71.87,-13.0367,-46.7717,Pousada Carnaúba
1102,Ndungu,overcast clouds,68.76,-4.3667,38.05,
1104,Sao Felix Do Xingu,broken clouds,72.75,-6.6447,-51.995,Rio Xingu Camping
1106,Martapura,broken clouds,77.0,-3.4167,114.85,Montana Hotel Syariah
1109,Araouane,broken clouds,65.32,18.9048,-3.5265,
1113,Kiunga,overcast clouds,76.01,-6.1219,141.2906,Airport Lodge Kiunga
1114,Port Lincoln,scattered clouds,66.2,-34.7333,135.8667,Port Lincoln Hotel
1115,Puerto Del Rosario,clear sky,64.4,28.5004,-13.8627,Hotel JM Puerto del Rosario
1116,Tecoanapa,clear sky,77.09,16.5167,-98.75,Hotel Manglares
1117,Ranong,few clouds,80.6,9.9658,98.6348,Tinidee Hotel@Ranong
1119,Hualmay,overcast clouds,70.09,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
1120,Praia,clear sky,69.8,14.9215,-23.5087,LT Aparthotel
1121,San Felipe,overcast clouds,72.03,10.3399,-68.7425,Posada Llovizna Rodríguez
1124,Miramar,broken clouds,73.4,25.9873,-80.2323,Stadium Hotel
1126,Nuevo Progreso,broken clouds,70.0,23.1667,-97.95,Balneario Rio el Paraiso
1128,Mocuba,scattered clouds,72.19,-16.8392,36.9856,Phama Lodge
1130,Samana,broken clouds,74.3,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
1131,San Cristobal,overcast clouds,66.7,7.7669,-72.225,Pirineos
1132,Santa Cruz De La Palma,clear sky,62.6,28.6835,-17.7642,H10 Taburiente Playa
1135,Omboue,light rain,76.73,-1.5746,9.2618,Hotel Olako
1136,Puerto Ayacucho,broken clouds,76.71,5.6639,-67.6236,Posada Turistica Manapiare
1137,Bengkulu,overcast clouds,84.99,-3.8004,102.2655,Grage Hotel Bengkulu
1139,Ballina,broken clouds,82.4,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
1141,Caravelas,clear sky,75.02,-17.7125,-39.2481,Pousada dos Navegantes
1142,Dwarka,clear sky,68.32,22.2394,68.9678,Hotel Narayan Avezika Comfort
1144,Banes,broken clouds,75.2,20.9625,-75.7186,Hostal Iván y yailet
1145,Ambilobe,overcast clouds,72.75,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
1149,Flinders,broken clouds,82.99,-34.5833,150.8552,Shellharbour Resort & Conference Centre
1153,Tubuala,few clouds,78.8,9.5167,-79.0333,Río Nabagana
1155,Sola,overcast clouds,79.18,-13.8833,167.55,Leumerus Bungalows
1156,Tomigusuku,scattered clouds,73.4,26.185,127.675,DoubleTree by Hilton Hotel Naha
1160,Salalah,clear sky,68.0,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
1162,Kruisfontein,overcast clouds,62.01,-34.0033,24.7314,Oyster Bay House Rental
1163,La Asuncion,clear sky,76.68,11.0333,-63.8628,Colinas de Matasiete
1164,Kudahuvadhoo,overcast clouds,81.3,2.6708,72.8944,Niyama Private Islands Maldives
1165,Bell Ville,light rain,61.0,-32.6259,-62.6887,Hotel Central
1166,Henties Bay,overcast clouds,66.99,-22.116,14.2845,Fishermans Guest House
1167,Majene,overcast clouds,84.04,-3.5403,118.9707,Kost Putri RABBANI
1172,Plettenberg Bay,light rain,63.81,-34.0527,23.3716,Thanda Vista B&B
1173,Palora,overcast clouds,69.1,-1.7,-77.9333,Rancho grande
1174,Coquimbo,broken clouds,64.4,-29.9533,-71.3436,Hotel San Juan
1177,Arlit,clear sky,61.16,18.7369,7.3853,Case de Passage De la Prefecture
1179,Rawson,few clouds,69.39,-43.3002,-65.1023,Hosteria Sampedro
1182,Gourcy,broken clouds,69.39,13.2167,-2.35,Auberge Gourcy
1186,San Patricio,clear sky,66.2,28.017,-97.5169,"Motel 6 Sinton, TX"
1188,Lucapa,light rain,66.94,-8.4192,20.7447,Residência Ulisses Dos Santos
1192,Ambulu,overcast clouds,84.72,-8.345,113.6058,Hotel Ambulu Jember
1197,Garissa,overcast clouds,72.34,-0.4536,39.6401,Sharif Plaza Hotel
1198,Trairi,broken clouds,79.88,-3.2778,-39.2689,janelas do mar
1199,Ulverstone,overcast clouds,64.99,-41.15,146.1667,Westella Colonial Bed & Breakfast
1201,Itarema,overcast clouds,79.5,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
1203,Bunawan,light rain,80.22,8.1667,126.0833,
1204,Urucara,clear sky,76.42,-2.5364,-57.76,Hotel japa
1206,Birao,clear sky,70.32,10.2849,22.7882,
1208,Bandarban,clear sky,69.15,22.1965,92.2262,Hotel Plaza
1215,Miri,scattered clouds,84.2,4.4148,114.0089,"Mega Hotel, Miri"
1217,Anse-Bertrand,few clouds,75.2,16.4721,-61.5078,Le Domharry
1219,Thinadhoo,broken clouds,82.53,0.5333,72.9333,
1220,Naze,few clouds,69.8,28.3667,129.4833,奄美ポートタワーホテル
1221,Kahului,few clouds,80.6,20.8947,-156.47,Maui Seaside Hotel
1226,Wanning,scattered clouds,73.15,18.8003,110.3967,Paradise Hotel
1229,Male,broken clouds,82.4,4.1748,73.5089,Hotel Octave Maldives
1230,Chateaubelair,scattered clouds,80.6,13.2833,-61.25,Richmond Vale Diving & Hiking Center
1231,Buala,light rain,84.18,-8.145,159.5921,Maringe Lagoon Lodge
1232,Rehoboth,broken clouds,68.95,-23.3167,17.0833,Noble Luminous Accommodation
1233,Esperance,scattered clouds,73.4,-33.8667,121.9,Hospitality Esperance
1243,Mogadishu,scattered clouds,74.03,2.0371,45.3438,Hotel Juba
1244,Kerema,overcast clouds,75.99,-7.9631,145.7785,Frena Lodge
1248,Oxapampa,overcast clouds,60.15,-10.5775,-75.4017,Hotel Heidinger
1249,Bandarbeyla,few clouds,72.12,9.4942,50.8122,JABIR HOTEL
1252,Caxito,few clouds,78.8,-8.5785,13.6643,
1254,Skeldon,overcast clouds,74.66,5.8833,-57.1333,Rits Hotel
1256,Carauari,overcast clouds,74.86,-4.8828,-66.8958,Hotel Fellip
1258,Nabire,overcast clouds,82.11,-3.3667,135.4833,Hotel Nusantara Nabire
1259,Hervey Bay,clear sky,82.99,-25.2986,152.8535,Shelly Bay Resort
1260,Vaitape,light rain,81.1,-16.5167,-151.75,Conrad Bora Bora Nui
1261,Jacareacanga,broken clouds,73.99,-6.2222,-57.7528,Casa do Ian😎
1262,Kloulklubed,overcast clouds,78.8,7.0419,134.2556,Storyboard Beach Resort
1264,Bonthe,clear sky,76.28,7.5264,-12.505,Bonthe Holiday Village
1265,Ayotzintepec,scattered clouds,69.13,17.6667,-96.1333,"Hotel ""Punta del Cerro"""
1267,Along,clear sky,60.21,28.1667,94.7667,Hotel West
1268,Vila Velha,few clouds,77.0,-20.3297,-40.2925,Hotel Vitória Palace
1271,Kaohsiung,few clouds,75.2,22.6163,120.3133,Kindness Hotel
1272,Monrovia,light rain,77.0,6.3005,-10.7969,Sunset Inn
1275,Ha Tinh,scattered clouds,73.36,18.3333,105.9,Phú Quý
1278,Massakory,clear sky,68.54,12.995999999999999,15.7293,
1279,Namatanai,light rain,84.56,-3.6667,152.4333,Namatanai Hotel
1282,Lagoa,overcast clouds,61.59,39.05,-27.9833,Casa Das Faias
1284,Santa Marta,few clouds,84.2,11.2408,-74.199,Hotel La Ballena Azul
1286,Comodoro Rivadavia,clear sky,64.4,-45.8667,-67.5,Austral Hotel
1288,Kalmunai,clear sky,78.91,7.4167,81.8167,VS Villa
1291,Taoudenni,clear sky,65.91,22.6783,-3.9836,
1293,Jambi,overcast clouds,83.21,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
1295,Dharan,clear sky,64.47,26.8125,87.2835,Hotel Kanchanjunga
1296,Salta,light intensity drizzle,64.4,-24.7859,-65.4117,Hotel Alejandro I
1299,Grootfontein,overcast clouds,66.2,-19.5667,18.1167,Meteor Travel Inn
1301,Salinopolis,moderate rain,79.41,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
1302,Nishihara,scattered clouds,73.4,26.1842,127.7558,Minshuku Agaihama
1307,Necocli,overcast clouds,77.74,8.4234,-76.786,Hotel Boutique El Turista
1308,Nanakuli,few clouds,80.6,21.3906,-158.1547,Camp Pālehua
1310,Humaita,heavy intensity rain,75.51,-7.5061,-63.0208,Corrêa Hotel
1311,Ampanihy,clear sky,76.82,-24.7,44.75,Angora Hotel
1314,Camana,broken clouds,69.93,-16.6228,-72.7111,Hostal Morales
1315,Biltine,clear sky,68.76,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
1317,Loandjili,overcast clouds,78.58,-4.7561,11.8578,Résidence ARCHANGE
1318,Vila Franca Do Campo,broken clouds,62.01,37.7167,-25.4333,Pestana Bahia Praia
1320,Tarauaca,overcast clouds,69.91,-8.1614,-70.7656,Flat Temporada
1330,Sao Joao Da Barra,overcast clouds,77.49,-21.6403,-41.0511,Pousada Porto De Canoas
1334,Fenoarivo,broken clouds,66.2,-18.933,47.4354,Skyfol Ambodiafontsy
1337,Bloemfontein,clear sky,61.59,-29.1211,26.214000000000002,Protea Hotel by Marriott Bloemfontein
1343,Kihei,few clouds,80.6,20.785,-156.4656,Maui Sunset
1345,Arani,few clouds,73.67,12.6667,79.2833,KPK LODGE
1346,Gwanda,overcast clouds,70.32,-20.9333,29.0,Mafax Homeways
1347,Atambua,heavy intensity rain,77.94,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
1351,Terenos,few clouds,71.6,-20.4422,-54.8603,QUINTAS IN CASA
1355,Makakilo City,few clouds,80.6,21.3469,-158.0858,Marriott's Ko Olina Beach Club
1356,Mackay,scattered clouds,84.99,-21.15,149.2,International Lodge Motel
1358,Praia Da Vitoria,broken clouds,64.4,38.7333,-27.0667,Hotel Branco I
1359,Indramayu,light rain,82.85,-6.3264,108.32,Grand Trisula Hotel
1361,Murray Bridge,broken clouds,73.0,-35.1167,139.2667,Balcony On Sixth Lodge
1364,Trelew,clear sky,71.85,-43.248999999999995,-65.3051,Hotel Touring Club
1366,Jepara,broken clouds,82.67,-5.1695,105.7044,Hotel Yestoya
