City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Description
30,Fairbanks,64.8378,-147.7164,-5.8,84,90,1.99,2021-02-01 02:49:44,
31,Jamestown,42.097,-79.2353,27.0,80,90,9.22,2021-02-01 02:52:31,
32,Airai,-8.9266,125.4092,69.67,87,89,6.49,2021-02-01 02:52:31,
33,Puerto Ayora,-0.7393,-90.3518,79.0,91,44,4.0,2021-02-01 02:50:17,
34,Chuy,-33.6971,-53.4616,69.64,91,100,13.0,2021-02-01 02:52:31,
35,Paamiut,61.994,-49.6678,21.09,89,0,15.37,2021-02-01 02:52:32,
36,Bluff,-46.6,168.3333,60.73,68,37,15.77,2021-02-01 02:52:32,
37,Buraydah,26.326,43.975,53.6,62,0,5.75,2021-02-01 02:48:35,
38,Mason City,43.1536,-93.201,28.0,86,90,18.41,2021-02-01 02:51:38,
39,Rocha,-34.4833,-54.3333,67.89,81,100,9.78,2021-02-01 02:52:32,
40,Todos Santos,23.45,-110.2167,68.0,83,100,6.78,2021-02-01 02:52:32,
41,Bredasdorp,-34.5322,20.0403,62.01,77,95,11.54,2021-02-01 02:52:32,
42,Darnah,32.767,22.6367,61.72,43,49,27.31,2021-02-01 02:52:07,
43,Sao Miguel Do Tapuio,-5.5036,-41.3233,74.37,65,95,3.89,2021-02-01 02:52:33,
44,Mirpur Khas,25.5251,69.0159,60.75,52,0,2.91,2021-02-01 02:52:33,
45,Sepolno Krajenskie,53.452,17.5317,19.0,96,51,5.01,2021-02-01 02:52:33,
46,Chokurdakh,70.6333,147.9167,-18.29,87,100,12.17,2021-02-01 02:52:33,
47,Egvekinot,66.3167,-179.1667,-10.89,91,100,20.54,2021-02-01 02:52:33,
48,Abbeville,50.1,1.8333,43.0,41,100,0.69,2021-02-01 02:52:33,
49,Port-Gentil,-0.7193,8.7815,80.6,76,77,4.59,2021-02-01 02:52:33,
50,Evensk,61.95,159.2333,-5.4,86,100,18.75,2021-02-01 02:52:33,
51,Cidreira,-30.1811,-50.2056,74.35,92,100,6.11,2021-02-01 02:52:33,
52,Mega,4.05,38.3,56.28,54,90,14.81,2021-02-01 02:52:34,
53,Hilo,19.7297,-155.09,78.8,57,20,9.22,2021-02-01 02:51:16,
54,Modakeke,7.3833,4.2667,72.18,98,21,1.19,2021-02-01 02:52:34,
55,Wencheng,33.0559,113.7978,55.63,51,91,5.82,2021-02-01 02:52:34,
56,Vao,-22.6667,167.4833,75.67,76,100,24.38,2021-02-01 02:48:34,
57,Longyearbyen,78.2186,15.6401,6.8,33,40,14.97,2021-02-01 02:52:34,
58,Linares,-35.85,-71.6,58.69,87,40,1.32,2021-02-01 02:52:34,
59,Vaini,-21.2,-175.2,80.6,83,90,10.36,2021-02-01 02:52:35,
60,Galle,6.0367,80.217,78.33,81,2,2.04,2021-02-01 02:49:09,
61,Nikolskoye,59.7035,30.7861,25.0,86,75,13.42,2021-02-01 02:52:35,
62,Carnarvon,-24.8667,113.6333,100.4,23,11,21.85,2021-02-01 02:52:35,
63,Talnakh,69.4865,88.3972,-16.6,78,100,9.1,2021-02-01 02:50:43,
64,Grand Gaube,-20.0064,57.6608,80.01,80,17,5.99,2021-02-01 02:48:40,
65,Esik,43.3552,77.4525,28.4,69,75,4.47,2021-02-01 02:52:37,
66,Dingle,10.9995,122.6711,82.06,74,53,13.78,2021-02-01 02:52:37,
67,Bud,39.447,-86.1758,28.99,98,100,14.29,2021-02-01 02:50:11,
68,Matagami,49.7502,-77.6328,-14.8,84,1,2.3,2021-02-01 02:52:37,
69,Novaya Malykla,54.2,49.95,19.98,96,100,8.75,2021-02-01 02:52:37,
70,Cape Town,-33.9258,18.4232,64.0,72,20,21.85,2021-02-01 02:47:49,
71,Vysokogornyy,50.1167,139.15,-3.3,82,100,1.36,2021-02-01 02:47:46,
72,Ilulissat,69.2167,-51.1,5.0,61,75,3.44,2021-02-01 02:52:37,
73,Qui Nhon,13.7667,109.2333,74.19,77,97,12.01,2021-02-01 02:52:38,
74,Banda Aceh,5.5577,95.3222,82.44,70,41,10.85,2021-02-01 02:51:11,
75,La Ronge,55.1001,-105.2842,17.6,86,27,3.44,2021-02-01 02:52:38,
76,Nouadhibou,20.931,-17.0347,66.02,72,77,17.29,2021-02-01 02:52:38,
77,Tazovskiy,67.4667,78.7,-9.4,90,100,12.77,2021-02-01 02:51:22,
78,Bo Phloi,14.3236,99.5161,84.99,38,0,5.39,2021-02-01 02:52:38,
79,Dallas,32.7668,-96.7836,50.0,46,1,11.5,2021-02-01 02:51:22,
80,Shelburne,44.0787,-80.2041,10.0,72,1,4.61,2021-02-01 02:51:04,
81,Hithadhoo,-0.6,73.0833,82.54,73,71,7.58,2021-02-01 02:52:38,
82,Torbay,47.6666,-52.7314,30.99,93,90,17.27,2021-02-01 02:52:39,
83,Birjand,32.8663,59.2211,26.6,50,0,4.61,2021-02-01 02:52:39,
84,Fort Nelson,58.8053,-122.7002,-7.6,77,90,3.44,2021-02-01 02:48:09,
85,Luderitz,-26.6481,15.1594,65.84,77,0,18.07,2021-02-01 02:52:39,
86,Yangjiang,21.85,111.9667,75.0,47,97,6.4,2021-02-01 02:52:39,
87,Hobart,-42.8794,147.3294,73.4,49,75,11.5,2021-02-01 02:52:39,
88,Andenes,69.3143,16.1194,30.2,86,75,20.71,2021-02-01 02:52:39,
89,Avarua,-21.2078,-159.775,82.4,78,90,5.75,2021-02-01 02:52:40,
90,Huarmey,-10.0681,-78.1522,70.43,81,83,8.3,2021-02-01 02:52:40,
91,Kavieng,-2.5744,150.7967,84.06,79,100,15.88,2021-02-01 02:52:40,
92,Samarai,-10.6167,150.6667,85.14,71,59,8.14,2021-02-01 02:52:40,
93,Hasaki,35.7333,140.8333,48.0,57,20,4.61,2021-02-01 02:52:40,
94,Bafq,31.6128,55.4107,45.72,48,0,1.25,2021-02-01 02:52:40,
95,Cherskiy,68.75,161.3,-10.41,84,100,5.32,2021-02-01 02:52:40,
96,Chara,56.9064,118.2631,-31.2,74,100,2.06,2021-02-01 02:52:40,
97,Ottobrunn,48.0624,11.6686,34.0,96,100,1.01,2021-02-01 02:52:40,
98,Tabuk,17.4189,121.4443,74.98,72,36,2.91,2021-02-01 02:52:41,
99,Muli,2.9167,73.5667,81.48,80,99,16.22,2021-02-01 02:52:41,
100,Comarapa,-17.9,-64.4833,58.8,100,100,3.11,2021-02-01 02:52:41,
101,Saint-Augustin,51.226,-58.6502,11.71,90,0,11.63,2021-02-01 02:52:41,
102,Quatre Cocos,-20.2078,57.7625,80.01,80,36,5.99,2021-02-01 02:50:39,
103,Butaritari,3.0707,172.7902,81.23,82,45,14.52,2021-02-01 02:52:41,
104,Yuancheng,36.652,107.7896,34.72,57,0,13.24,2021-02-01 02:52:42,
105,Upernavik,72.7868,-56.1549,3.43,92,100,6.89,2021-02-01 02:52:42,
106,Hobyo,5.3505,48.5268,73.96,78,18,17.11,2021-02-01 02:52:42,
107,Savonlinna,61.8699,28.88,19.4,86,90,3.44,2021-02-01 02:52:42,
108,Baglan,36.1307,68.7083,43.63,70,0,1.21,2021-02-01 02:52:42,
109,San Juan,-31.5375,-68.5364,61.47,63,61,17.58,2021-02-01 02:52:42,
110,Redmond,47.674,-122.1215,45.0,94,100,3.18,2021-02-01 02:48:25,
111,Igrim,63.1906,64.4162,6.53,95,100,9.42,2021-02-01 02:52:43,
112,Ponta Do Sol,32.6667,-17.1,55.0,63,0,1.99,2021-02-01 02:52:43,
113,Makinsk,52.6292,70.4169,9.52,93,100,4.5,2021-02-01 02:52:43,
114,Pontes E Lacerda,-15.2261,-59.3353,74.3,86,2,2.48,2021-02-01 02:51:10,
115,Sao Miguel Do Araguaia,-13.275,-50.1628,74.46,84,87,2.26,2021-02-01 02:52:43,
116,Nikel,69.4128,30.222,-2.2,84,35,4.61,2021-02-01 02:52:43,
117,Saint George,37.1041,-113.5841,48.99,57,1,3.44,2021-02-01 02:47:52,
118,Bambous Virieux,-20.3428,57.7575,80.6,78,40,10.36,2021-02-01 02:50:06,
119,Berlevag,70.8578,29.0864,23.23,92,90,7.52,2021-02-01 02:52:44,
120,Altay,47.8667,88.1167,17.06,65,4,1.86,2021-02-01 02:52:44,
121,Mar Del Plata,-38.0023,-57.5575,64.0,77,75,11.5,2021-02-01 02:49:02,
122,Touros,-5.1989,-35.4608,78.8,83,40,8.05,2021-02-01 02:52:44,
123,Nome,64.5011,-165.4064,3.2,60,90,11.5,2021-02-01 02:52:44,
124,Mazagao,-0.115,-51.2894,80.6,89,0,6.91,2021-02-01 02:52:44,
125,Greensburg,40.3015,-79.5389,30.2,74,90,11.5,2021-02-01 02:48:27,
126,Saldanha,-33.0117,17.9442,63.57,75,13,23.35,2021-02-01 02:52:44,
127,Axim,4.8699,-2.2405,78.57,88,7,7.4,2021-02-01 02:52:45,
128,Namibe,-15.1961,12.1522,71.46,77,99,5.86,2021-02-01 02:52:45,
129,Columbus,39.9612,-82.9988,33.01,100,90,9.22,2021-02-01 02:51:44,
130,Coahuayana,18.7333,-103.6833,72.39,89,0,1.99,2021-02-01 02:52:45,
131,Zarinsk,53.7074,84.9493,4.39,82,84,4.29,2021-02-01 02:52:45,
132,Cayenne,4.9333,-52.3333,80.6,78,75,10.36,2021-02-01 02:52:45,
